Marca temporal;¿Cuál es su rol dentro de la universidad?;¿En qué rango de edad se encuentra?;¿Con qué genero se identifica?;Si es posible, indíquenos a qué facultad de la lista pertenece.;¿Conoce la diferencia entre astronomía y ciencias planetarias?;¿Qué desincentiva su interés al leer/investigar sobre ciencias planetarias?;¿Qué haría que aumentara su interés sobre las ciencias planetarias?;¿Le interesaría visitar un blog con artículos acerca del sistema solar?;¿Sobre qué cuerpo/objeto del sistema solar le interesaría aprender con mayor profundidad?;¿Sobre cuáles de estos temas relacionados con los cuerpos del sistema solar le interesaría conocer más?;1. ¿Qué científico colombiano tiene un cráter en la Luna con su nombre?;2. ¿Cuántos planetas tiene nuestro sistema solar;3. ¿Dónde está ubicado el cinturón de asteroides?;4. ¿Cuál es el planeta mas caliente del sistema solar?;5. Con una temperatura promedio de 201° bajo cero en superficie ¿cuál es el planeta más frío del sistema solar?;6. ¿Cuál es el planeta más grande del sistema solar?;7. ¿Quién fue el primer hombre en observar los satélites principales de Júpiter?;8. Uno de los espectáculos más impresionantes a nivel del sistema solar es la presencia de anillos alrededor de Saturno, ¿Cuál de los siguientes planetas también presenta anillos?;9. En comparación al año terrestre (365,25 días), ¿qué planeta del sistema solar tiene una menor duración en su año?;10. Los rovers Curiosity y Oportunity fueron desplegados en la superficie del planeta:;11. ¿Cómo se le llama a la nube esférica de objetos transneptunianos que se encuentra en los límites del sistema solar?
7/6/2020 8:07:47;Egresado;30 a 40 años;Masculino;Facultad de Ciencias Agrarias;No;No está relacionado con mi carrera/profesión;Tener un sitio de consulta confiable;Sí;Satélites;Las características geológicas de los planetas, Las características atmosféricas de los planetas, Las características físicas de los planetas;Francisco José de Caldas;9;Entre las órbitas Júpiter y Saturno;Mercurio;Pluton;Júpiter;Nicolás Copérnico;Neptuno;Mercurio;Marte;Nube de Oort
7/6/2020 8:17:47;Egresado;25 a 30 años;Femenino;Facultad de Ciencias Humanas;Sí;La información disponible es muy especializada;Conocer espacios de divulgación sobre estos temas;Sí;Satélites;Las características geológicas de los planetas, Las características atmosféricas de los planetas, Las características de los satélites de los planetas;Julio Garavito Armero;8;Entre las órbitas de Marte y Júpiter;Mercurio;Pluton;Júpiter;Galileo Galilei;Todas las anteriores;Mercurio;Marte;Nube de Oort
7/6/2020 8:19:49;Egresado;30 a 40 años;Masculino;Facultad de Ciencias Agrarias;Sí;NInguno;Conocer espacios de divulgación sobre estos temas;Sí;Marte;Las características geológicas de los planetas, Las características atmosféricas de los planetas, Las características de los satélites de los planetas, Las características geoquímicas de los planetas, Las características físicas de los planetas, Las principales características de los asteroides, Las principales características de los cometas;Julio Garavito Armero;8;Entre las órbitas de Marte y Júpiter;Mercurio;Neptuno;Júpiter;Nicolás Copérnico;Ninguna de las anteriores;Mercurio;Marte;Nube de Kuiper
7/6/2020 9:01:03;Estudiante de pregrado o posgrado;18 a 24 años;Femenino;Facultad de Medicina;Sí;No está relacionado con mi carrera/profesión;Conocer espacios de divulgación sobre estos temas;Sí;El sol;Las características atmosféricas de los planetas, Las características de los satélites de los planetas, Las características físicas de los planetas, Las principales características de los cometas;Julio Garavito Armero;8;Entre las órbitas Júpiter y Saturno;Mercurio;Neptuno;Júpiter;Nicolás Copérnico;Ninguna de las anteriores;Mercurio;Marte;Nube de Kuiper
7/6/2020 9:19:21;Estudiante de pregrado o posgrado;18 a 24 años;Masculino;Facultad de Ingeniería;No;No conocía el término ciencias planetarias;Conocer espacios de divulgación sobre estos temas;Sí;El sol;Las características geológicas de los planetas, Las características atmosféricas de los planetas, Las características de los satélites de los planetas, Las características geoquímicas de los planetas, Las características físicas de los planetas, Las principales características de los asteroides, Las principales características de los cometas;Francisco José de Caldas;8;Entre las órbitas de Marte y Júpiter;Venus;Pluton;Júpiter;Tycho Brahe;Todas las anteriores;Mercurio;Marte;Nube de Oort
7/6/2020 9:27:57;Estudiante de pregrado o posgrado;18 a 24 años;Masculino;Facultad de Ingeniería;No;La información disponible es muy especializada;Conocer espacios de divulgación sobre estos temas;Sí;El sol;Las características físicas de los planetas;Julio Garavito Armero;8;Entre las órbitas de Marte y Júpiter;Venus;Neptuno;Júpiter;Galileo Galilei;Urano;Marte;Marte;Nube de Kuiper
7/6/2020 10:00:35;Estudiante de pregrado o posgrado;18 a 24 años;Masculino;Facultad de Ciencias Humanas;No;La información disponible es muy especializada;Tener un sitio donde la informacion se presente de manera entendible para quienes no somos especialistas y sea de interes.;Sí;El sol;Las principales características de los asteroides;Manuel Elkin Patarroyo;8;Entre las órbitas Júpiter y Saturno;Mercurio;Neptuno;Júpiter;Galileo Galilei;Ninguna de las anteriores;Venus;Marte;Nube de Google
7/6/2020 10:21:12;Estudiante de pregrado o posgrado;30 a 40 años;Femenino;Facultad de Ciencias Humanas;No;La información disponible es muy especializada;Conocer espacios de divulgación sobre estos temas;Sí;Todos los anteriores;Las características geológicas de los planetas, Las características atmosféricas de los planetas, Las características de los satélites de los planetas, Las características geoquímicas de los planetas, Las características físicas de los planetas, Las principales características de los asteroides, Las principales características de los cometas;Francisco José de Caldas;10;Entre las órbitas Júpiter y Saturno;Mercurio;Pluton;Júpiter;Tycho Brahe;Ninguna de las anteriores;Mercurio;Marte;Nube de Google
7/6/2020 10:40:37;Estudiante de pregrado o posgrado;18 a 24 años;Femenino;Facultad de Ciencias Económicas;No;La información disponible es muy especializada;Conocer espacios de divulgación sobre estos temas;Sí;Saturno;Las características geológicas de los planetas, Las características de los satélites de los planetas, Las principales características de los asteroides;Salomón Hakim;8;Entre las órbitas de Marte y Júpiter;Mercurio;Neptuno;Júpiter;Galileo Galilei;Ninguna de las anteriores;Mercurio;Marte;Nube de Kuiper
7/6/2020 10:48:14;Estudiante de pregrado o posgrado;18 a 24 años;Masculino;Facultad de Ciencias Económicas;No;No sé dónde encontrar información del tema;Conocer espacios de divulgación sobre estos temas;Sí;La Tierra;Las características geológicas de los planetas, Las características atmosféricas de los planetas, Las características de los satélites de los planetas, Las características físicas de los planetas, Las principales características de los cometas;Julio Garavito Armero;8;Entre las órbitas de Marte y Júpiter;Neptuno;Saturno;Marte;Galileo Galilei;Jupiter;Mercurio;Marte;Nube de Kuiper
7/6/2020 10:49:21;Estudiante de pregrado o posgrado;18 a 24 años;Masculino;Facultad de Ingeniería;No;No sé dónde encontrar información del tema;Conocer espacios de divulgación sobre estos temas;Sí;Júpiter;Las características geológicas de los planetas, Las características físicas de los planetas;Francisco José de Caldas;9;Entre las órbitas Júpiter y Saturno;Mercurio;Pluton;Júpiter;Galileo Galilei;Ninguna de las anteriores;Mercurio;Marte;Nube de Kuiper
7/6/2020 10:51:38;Estudiante de pregrado o posgrado;18 a 24 años;Masculino;Facultad de Ciencias;No;La información disponible es muy especializada;Contar con la información sintetizada;Sí;Júpiter;Las características geoquímicas de los planetas, Las características físicas de los planetas;Julio Garavito Armero;9;Entre las órbitas de Marte y Júpiter;Mercurio;Pluton;Júpiter;Nicolás Copérnico;Ninguna de las anteriores;Neptuno;Marte;Nube de Oort
